学年,対象の漢字,読み,文章,ぶんしょう
1,一,いち,{運動会}の{徒競走}で[一]{位}になる。,{うんどうかい}の{ときょうそう}で[いち]{い}になる。
1,一,ひと,この{世}に[一]つしかない{指輪}が{展示}される。,この{よ}に[ひと]つしかない{ゆびわ}が{てんじ}される。
1,七,しち,[七]{五三}の{写真}をアルバムに{入}れる。,[しち]{ごさん}の{しゃしん}をアルバムに{い}れる。
1,七,なな,{雨}の{後}に[七]{色}のにじが{見}えた。,{あめ}の{あと}に[なな]{いろ}のにじが{み}えた。
1,七,なの,{私}の{誕生日}は{四月}[七]{日}です。,{わたし}の{たんじょうび}は{しがつ}[なの]{か}です。
1,三,さん,{工事現場}の{周}りに[三]{角}コーンが{並}べられている。,{こうじげんば}の{まわ}りに[さん]{かく}コーンが{なら}べられている。
1,三,み,{人形}のかみを[三]つ{編}みにする。,{にんぎょう}のかみを[み]つ{あ}みにする。
1,三,みっ,{知}り{合}いからあめ{玉}を[三]つもらった。,{し}り{あ}いからあめ{だま}を[みっ]つもらった。
1,上,あ,お{祭}りの{日}に{花火}が{打}ち[上]がる。,お{まつ}りの{ひ}に{はなび}が{う}ち[あ]がる。
1,上,うえ,{机}の[上]に{教科書}を{置}いておく。,{つくえ}の[うえ]に{きょうかしょ}を{お}いておく。
1,上,うわ,{三学期}が{終}わる{日}に[上]ぐつを{持}って{帰}る。,{さんがっき}が{お}わる{ひ}に[うわ]ぐつを{も}って{かえ}る。
1,上,かみ,{川}[上]からももが{流}れてくる。,{かわ}[かみ]からももが{なが}れてくる。
1,上,じょう,{気球}が{空}から{地}[上]に{降}りてくる。,{ききゅう}が{そら}から{ち}[じょう]に{お}りてくる。
1,上,のぼ,{電車}の[上]り{線}と{下}り{線}をまちがえる。,{でんしゃ}の[のぼ]り{せん}と{くだ}り{せん}をまちがえる。
1,下,お,おじさんが{作業}を{済}ませて、キャタツから[下]りる。,おじさんが{さぎょう}を{す}ませて、キャタツから[お]りる。
1,下,か,{日曜日}に、{地}[下]{鉄}に{乗}って{出}かける。,{にちようび}に、{ち}[か]{てつ}に{の}って{で}かける。
1,下,くだ,{山}を[下]っているとちゅうで、キツネに{会}った。,{やま}を[くだ]っているとちゅうで、キツネに{あ}った。
1,下,げ,トイレで{流}した{水}が、[下]{水道}に{流}れていく。,トイレで{なが}した{みず}が、[げ]{すいどう}に{なが}れていく。
1,下,さ,{秘密兵器}のレバーを[下]げる。,{ひみつへいき}のレバーを[さ]げる。
1,下,した,ソファーの[下]にビー{玉}が{転}がっていった。,ソファーの[した]にビー{だま}が{ころ}がっていった。
1,下,しも,{川}[下]の{方}で、{無}くしたサンダルが{見}つかった。,{かわ}[しも]の{ほう}で、{な}くしたサンダルが{み}つかった。
1,中,じゅう,{今日}は{一日}[中]、{風}が{強}かった。,{きょう}は{いちにち}[じゅう]、{かぜ}が{つよ}かった。
1,中,ちゅう,いやな{予感}が{的}[中]してしまった。,いやな{よかん}が{てき}[ちゅう]してしまった。
1,中,なか,{作品}の[中]で、{作者}の{姿}がえがかれる。,{さくひん}の[なか]で、{さくしゃ}の{すがた}がえがかれる。
1,九,きゅう,[九]{州地方}の{県庁所在地}はマスターした。,[きゅう]{しゅうちほう}の{けんちょうしょざいち}はマスターした。
1,九,く,{算数}の[九]{九}はまだ{全}て{暗記}できていない。,{さんすう}の[く]{く}はまだ{すべ}て{あんき}できていない。
1,九,ここの,{都道府県名}のテストで[九]つ{書}けなかった。,{とどうふけんめい}のテストで[ここの]つ{か}けなかった。
1,二,に,{酸素}を{取}りこんで、[二]{酸化炭素}をはき{出}す。,{さんそ}を{と}りこんで、[に]{さんかたんそ}をはき{だ}す。
1,二,ふた,かれはいつも[二]{言目}には「やべえ」と{言}う。,かれはいつも[ふた]{ことめ}には「やべえ」と{い}う。
1,五,いつ,{上}から[五]つ{目}のボタンをかけちがえる。,{うえ}から[いつ]つ{め}のボタンをかけちがえる。
1,五,ご,{昨日}の{晩}ごはんは[五]{目}ごはんだった。,{きのう}の{ばん}ごはんは[ご]{もく}ごはんだった。
1,人,じん,{小説}の{主}[人]{公}に{共感}する。,{しょうせつ}の{しゅ}[じん]{こう}に{きょうかん}する。
1,人,にん,ひな{祭}りの{日}にひな[人]{形}をかざった。,ひな{まつ}りの{ひ}にひな[にん]{ぎょう}をかざった。
1,人,ひと,[人]があまり{来}ない{所}に{秘密基地}をつくる。,[ひと]があまり{こ}ない{ところ}に{ひみつきち}をつくる。
1,休,きゅう,{今月}は{連}[休]がないからゆううつだ。,{こんげつ}は{れん}[きゅう]がないからゆううつだ。
1,休,やす,お{昼}[休]みの{後}の{授業}はねむい。,お{ひる}[やす]みの{あと}の{じゅぎょう}はねむい。
1,先,さき,さいほう{針}の[先]が{指}にささる。,さいほう{はり}の[さき]が{ゆび}にささる。
1,先,せん,[先]{生}といっしょに{教室}のそうじに{取}り{組}む。,[せん]{せい}といっしょに{きょうしつ}のそうじに{と}り{く}む。
1,入,い,いつも{乗}っている{自転車}をお{手}[入]れする。,いつも{の}っている{じてんしゃ}をお{て}[い]れする。
1,入,にゅう,{今年}から{空手教室}に[入]{門}した。,{ことし}から{からてきょうしつ}に[にゅう]{もん}した。
1,入,はい,{庭}の{巣箱}に{鳥}が[入]っていった。,{にわ}の{すばこ}に{とり}が[はい]っていった。
1,八,はち,{夏休}みは[八]{月末}までだ。,{なつやす}みは[はち]{がつまつ}までだ。
1,八,や,[八]{重桜}の{写真}をとる。,[や]{えざくら}の{しゃしん}をとる。
1,八,や,ものに[八]つ{当}たりしておこられる。,ものに[や]つ{あ}たりしておこられる。
1,八,やっ,としが[八]つくらいの{子}と{遊}ぶ。,としが[やっ]つくらいの{こ}と{あそ}ぶ。
1,八,よう,[八]{日}の{正午}に{待}ち{合}わせをする。,[よう]{か}の{しょうご}に{ま}ち{あ}わせをする。
1,六,む,とんかつを[六]つ{切}りにしてテーブルに{並}べる。,とんかつを[む]つ{ぎ}りにしてテーブルに{なら}べる。
1,六,むい,{今日}で{犬}を{飼}い{始}めて[六]{日目}になった。,{きょう}で{いぬ}を{か}い{はじ}めて[むい]{かめ}になった。
1,六,むっ,みかんを[六]つこたつの{上}に{置}く。,みかんを[むっ]つこたつの{うえ}に{お}く。
1,六,ろく,{夏休}み{前}は、{図書室}で[六]{冊}まで{本}を{借}りられます。,{なつやす}み{まえ}は、{としょしつ}で[ろく]{さつ}まで{ほん}を{か}りられます。
1,円,えん,おかしの{代金}を、{五}[円]{玉}を{使}ってはらった。,おかしの{だいきん}を、{ご}[えん]{たま}を{つか}ってはらった。
1,円,まる,コンパスとハサミを{使}って、{紙}を[円]く{切}った。,コンパスとハサミを{つか}って、{かみ}を[まる]く{き}った。
1,出,しゅつ,ホースから{水}を{一気}に{放}[出]する。,ホースから{みず}を{いっき}に{ほう}[しゅつ]する。
1,出,だ,ポケットからハンカチを{取}り[出]す。,ポケットからハンカチを{と}り[だ]す。
1,出,で,{机}のおくから{百円玉}が[出]てくる。,{つくえ}のおくから{ひゃくえんたま}が[で]てくる。
1,力,ちから,[力]{任}せにドアをこじ{開}ける。,[ちから]{まか}せにドアをこじ{あ}ける。
1,力,りき,こんしんの[力]{作}がついに{完成}する。,こんしんの[りき]{さく}がついに{かんせい}する。
1,力,りょく,リンゴが{引}[力]によって{下}に{落}ちる。,リンゴが{いん}[りょく]によって{した}に{お}ちる。
1,十,じゅう,{自動}はん{売機}に[十]{円玉}を{入}れる。,{じどう}はん{ばいき}に[じゅう]{えんたま}を{い}れる。
1,十,と,みんな{個性}がちがう。[十]{人十色}だ。,みんな{こせい}がちがう。[と]{いろ}だ。
1,十,とお,{夏休}みの[十]{日目}に{遊}びにさそわれた。,{なつやす}みの[とお]{かめ}に{あそ}びにさそわれた。
1,千,せん,{私}は{二}[千]{円札}を{見}たことがない。,{わたくし}は{に}[せん]{えんさつ}を{み}たことがない。
1,千,ち,きれいな[千]{代紙}でつるを{折}った。,きれいな[ち]{よがみ}でつるを{お}った。
1,口,く,{上田}さんは{少}し{変}わった[口]{調}で{話}す。,{うえだ}さんは{すこ}し{か}わった[く]{ちょう}で{はな}す。
1,口,くち,{早}[口]{言葉}にチャレンジしたら{舌}をかんだ。,{はや}[くち]{ことば}にチャレンジしたら{した}をかんだ。
1,口,こう,{日本}の{中}では{東京}が{最}も{人}[口]{密度}が{高}い。,{にっぽん}の{なか}では{とうきょう}が{もっと}も{じん}[こう]{みつど}が{たか}い。
1,右,う,{前}の{車}がいきなり[右]{折}する。,{まえ}の{くるま}がいきなり[う]{せつ}する。
1,右,みぎ,[右]{手}でコップを{持}って{歩}く。,[みぎ]{て}でコップを{も}って{ある}く。
1,右,ゆう,{横断歩道}をわたる{前}に{左}[右]を{確認}する。,{おうだんほどう}をわたる{まえ}に{さ}[ゆう]を{かくにん}する。
1,名,な,{新}しく{生}まれる{子}どもの[名]{前}になやむ。,{あたら}しく{う}まれる{こ}どもの[な]{まえ}になやむ。
1,名,みょう,この{物語}には{個性的}な[名]{字}の{登場人物}が{多}い。,この{ものがたり}には{こせいてき}な[みょう]{じ}の{とうじょうじんぶつ}が{おお}い。
1,名,めい,しょうぎの[名]{人}がコンピュータと{勝負}をする。,しょうぎの[めい]{じん}がコンピュータと{しょうぶ}をする。
1,四,し,[四]{季}があるのは{日本}の{特}ちょうの{一}つだ。,[し]{き}があるのは{にっぽん}の{とく}ちょうの{ひと}つだ。
1,四,よ,{友達}[四]{人}でババぬきをする。,{ともだち}[よ]{にん}でババぬきをする。
1,四,よっ,{夏休}み[四]{日目}から{宿題}をやらなくなった。,{なつやす}み[よっ]{かめ}から{しゅくだい}をやらなくなった。
1,四,よん,[四]{連続}でじゃんけんに{負}ける。,[よん]{れんぞく}でじゃんけんに{ま}ける。
1,土,つち,[土]{遊}びでどろだらけになって{帰}ってくる。,[つち]{あそ}びでどろだらけになって{かえ}ってくる。
1,土,と,{買}った[土]{地}に{家}を{建}てる。,{か}った[と]{ち}に{いえ}を{た}てる。
1,土,ど,ここから{先}は[土]{足禁止}ですよ。,ここから{さき}は[ど]{そくきんし}ですよ。
1,夕,ゆう,きれいな[夕]{焼}けの{写真}をとる。,きれいな[ゆう]{や}けの{しゃしん}をとる。
1,大,おお,[大]{雨}でぬれて、かぜをひいてしまった。,[おお]{あめ}でぬれて、かぜをひいてしまった。
1,大,おお,{一番}[大]きいサイズの{服}を{買}う。,{いちばん}[おお]きいサイズの{ふく}を{か}う。
1,大,たい,このパズル、[大]して{難}しくなかったね。,このパズル、[たい]して{むずか}しくなかったね。
1,大,だい,{私}はキャンディーが[大]{好}きだ。,{わたくし}はキャンディーが[だい]{す}きだ。
1,天,あま,[天]の{川}をながめながらスイカを{食}べた。,[あま]の{がわ}をながめながらスイカを{た}べた。
