学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
1,一,いち,{運動会}の{徒競走}で[一]{位}になる。,{うんどうかい}の{ときょうそう}で[いち]{い}になる。,Won first place in the foot race at the sports day.,Obtuvo el primer lugar en la carrera a pie en la jornada deportiva.
1,一,ひと,この{世}に[一]つしかない{指輪}が{展示}される。,この{よ}に[ひと]つしかない{ゆびわ}が{てんじ}される。,A one-of-a-kind ring will be on display.,Se exhibirá un anillo único en su tipo.
1,七,しち,[七]{五三}の{写真}をアルバムに{入}れる。,[しち]{ごさん}の{しゃしん}をアルバムに{い}れる。,Put Shichi-Go-San photos in an album.,Pon fotos de Shichi-Go-San en un álbum.
1,七,なな,{雨}の{後}に[七]{色}のにじが{見}えた。,{あめ}の{あと}に[なな]{いろ}のにじが{み}えた。,"After the rain, I saw a seven-colored rainbow.","Después de la lluvia, vi un arcoíris de siete colores."
1,七,なの,{私}の{誕生日}は{四月}[七]{日}です。,{わたし}の{たんじょうび}は{しがつ}[なの]{か}です。,My birthday is April 7th.,Mi cumpleaños es el 7 de abril.
1,三,さん,{工事現場}の{周}りに[三]{角}コーンが{並}べられている。,{こうじげんば}の{まわ}りに[さん]{かく}コーンが{なら}べられている。,Triangular cones are lined up around the construction site.,Los conos triangulares están alineados alrededor del sitio de construcción.
1,三,み,{人形}のかみを[三]つ{編}みにする。,{にんぎょう}のかみを[み]つ{あ}みにする。,Braid the doll's hair.,Trenza el cabello de la muñeca.
1,三,みっ,{知}り{合}いからあめ{玉}を[三]つもらった。,{し}り{あ}いからあめ{だま}を[みっ]つもらった。,I received three candy balls from an acquaintance.,Recibí tres bolas de caramelo de un conocido.
1,上,あ,お{祭}りの{日}に{花火}が{打}ち[上]がる。,お{まつ}りの{ひ}に{はなび}が{う}ち[あ]がる。,Fireworks are set off on festival days.,Los días festivos se lanzan fuegos artificiales.
1,上,うえ,{机}の[上]に{教科書}を{置}いておく。,{つくえ}の[うえ]に{きょうかしょ}を{お}いておく。,Leave the textbook on the desk.,Deja el libro de texto sobre el escritorio.
1,上,うわ,{三学期}が{終}わる{日}に[上]ぐつを{持}って{帰}る。,{さんがっき}が{お}わる{ひ}に[うわ]ぐつを{も}って{かえ}る。,"On the day the third semester ends, I bring home the shoes.","El día que termina el tercer semestre, llevo los zapatos a casa."
1,上,かみ,{川}[上]からももが{流}れてくる。,{かわ}[かみ]からももが{なが}れてくる。,Peach is flowing from upstream.,El melocotón fluye río arriba.
1,上,じょう,{気球}が{空}から{地}[上]に{降}りてくる。,{ききゅう}が{そら}から{ち}[じょう]に{お}りてくる。,Balloons fall from the sky to the ground.,Los globos caen del cielo al suelo.
1,上,のぼ,{電車}の[上]り{線}と{下}り{線}をまちがえる。,{でんしゃ}の[のぼ]り{せん}と{くだ}り{せん}をまちがえる。,Mistaking the up and down train lines.,Confundir las líneas de tren de subida y bajada.
1,下,お,おじさんが{作業}を{済}ませて、キャタツから[下]りる。,おじさんが{さぎょう}を{す}ませて、キャタツから[お]りる。,The old man finishes his work and gets off the cat.,El anciano termina su trabajo y se baja del gato.
1,下,か,{日曜日}に、{地}[下]{鉄}に{乗}って{出}かける。,{にちようび}に、{ち}[か]{てつ}に{の}って{で}かける。,"On Sunday, I go out on the subway.",El domingo salgo en metro.
1,下,くだ,{山}を[下]っているとちゅうで、キツネに{会}った。,{やま}を[くだ]っているとちゅうで、キツネに{あ}った。,"As I was going down the mountain, I met a fox.","Mientras bajaba de la montaña, me encontré con un zorro."
1,下,げ,トイレで{流}した{水}が、[下]{水道}に{流}れていく。,トイレで{なが}した{みず}が、[げ]{すいどう}に{なが}れていく。,Water flushed from the toilet flows into the sewer.,El agua que sale del inodoro desemboca en el alcantarillado.
1,下,さ,{秘密兵器}のレバーを[下]げる。,{ひみつへいき}のレバーを[さ]げる。,Lower the secret weapon lever.,Baja la palanca del arma secreta.
